Orc_species,lat,lon,cer1,cer10,cer18,cer2,cer20,cer21,cer22,cer23,cer25,cer27,cer29,cer30,cer31,cer32,cer34,cer35,cer36,cer38,cer39,cer4,cer40,cer41,cer42,cer45,cer46,cer47,ino11,ino7,ino8,rus1,rus18,rus2,rus26,rus6,seb12,seb32,ser1,the32,the33,the35,the36,the7,tul18,tul23,tul24,tul25,tul27,tul43,tul5,K,MaxPrec,MinTemp,N,P,pH,population
Neottia_ovata ,50.463889,14.610556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.5847702,234,-3.299999952,1.297408104,21.76402664,5.314390182,p
Neottia_ovata ,49.078889,13.557222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,125.2478485,383,-6.5,2.600142002,23.64256859,5.470343113,c
Neottia_ovata ,49.133611,13.503056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,126.7169571,311,-5.599999905,3.781433344,16.7723732,5.191606998,f
Neottia_ovata ,49.211944,13.341944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120.0428543,346,-6.099999905,3.011419058,19.88469887,5.419980526,d
Neottia_ovata ,48.830278,17.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,163.8965302,268,-5.199999809,2.930246592,23.04577255,5.798864841,k
Neottia_ovata ,48.889167,17.531944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,233.1893768,259,-4.800000191,1.985698462,24.54765129,5.94849968,q
Neottia_ovata ,50.757651,5.8295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.2762756,242,-0.5,3.930044651,40.84114075,6.030774117,h
Ophrys_bertolonii,42.941653,11.866438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.353302,216,0.600000024,2.787407637,17.83815765,6.585903645,g
Orchis_anthropophora,43.91277778,3.51361111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,274.5045471,279,0.200000003,2.499399185,18.25222588,7.337682247,i
Orchis_anthropophora,50.794671,5.665723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,230.2288055,227,0,1.914427042,52.08462524,6.958577633,be
Orchis_anthropophora,50.767724,5.635945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,180.6367188,230,-0.100000001,2.395786047,52.98271179,6.477247715,at
Orchis_militaris,58.978639,22.49325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,132.5713043,220,-5.099999905,2.087973833,23.43639565,5.440144539,av
Orchis_militaris,59.391528,27.230222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176.8119812,239,-10.10000038,2.190701008,38.43584824,6.361032486,ar
Orchis_militaris,50.794671,5.665723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,230.2288055,227,0,1.914427042,52.08462524,6.958577633,bg
Orchis_militaris,50.828297,5.87636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,176.2763672,224,-0.300000012,1.74340868,16.47273445,5.316104889,az
Orchis_purpurea,50.794671,5.665723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,230.2288055,227,0,1.914427042,52.08462524,6.958577633,bb
Orchis_simia,43.91277778,3.51361111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,274.5045471,279,0.200000003,2.499399185,18.25222588,7.337682247,ay
Spiranthes_spiralis,48.79631,-1.56969,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.1114349,245.1860352,3.440698385,2.429124832,54.51825333,6.511262894,bh
Spiranthes_spiralis,43.93497,3.518619,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,235.6912231,299,-0.200000003,4.554142475,21.75420189,7.418296337,bd
Spiranthes_spiralis,43.94129,3.525601,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,216.7398987,289,0,2.061712503,19.39183807,7.421719074,ap
Spiranthes_spiralis,54.26178,-8.61585,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,198.0437775,403,2.599999905,3.816381693,32.10573196,5.636176109,ao
Spiranthes_spiralis,37.89712,14.37238,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,250.4418335,244,2.200000048,3.340314388,22.04317284,6.729987621,aq
Spiranthes_spiralis,39.06083,26.55076,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.4851685,333,4,2.219558477,10.35995483,6.899068356,au
Spiranthes_spiralis,54.26209,-8.61475,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.8684692,403,2.599999905,3.615959883,31.81695175,5.692742825,an
Spiranthes_spiralis,39.00381,26.32637,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,244.397995,322,3.5,1.996766806,10.27638435,6.80684948,aw
Spiranthes_spiralis,43.9177,3.50425,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,226.8897858,290,0,3.601559401,5.78083992,6.664186001,ba
Spiranthes_spiralis,38.9892,26.31498,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.5310364,308,4.599999905,2.014596939,10.19630051,6.827142715,ax
Spiranthes_spiralis,40.82348,14.39381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,270.5081787,345,2.900000095,1.338747144,8.772807121,6.310156822,as
Spiranthes_spiralis,40.82173,14.39474,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,446.3375854,345,2.900000095,2.589225054,3.855269432,6.462831497,bi
Spiranthes_spiralis,39.02483,26.32138,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,185.9597778,321,3.400000095,2.008187532,9.498203278,7.208519936,bc
Spiranthes_spiralis,37.81393,14.41387,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,253.9980316,247,2.099999905,2.714063406,14.59677792,6.709160328,a
Spiranthes_spiralis,43.92146,3.473415,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,262.2476196,289,0,5.140646458,23.40067101,7.521159649,ab
Spiranthes_spiralis,54.24538,-8.51075,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.5758057,436,2.200000048,6.039412975,43.63995361,5.893183708,ae
Spiranthes_spiralis,39.02045,26.32708,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.2752991,323,3.299999952,1.817986608,7.779898167,7.039119244,ad
