"","mean.cer1","mean.cer10","mean.cer18","mean.cer2","mean.cer20","mean.cer21","mean.cer22","mean.cer23","mean.cer25","mean.cer27","mean.cer29","mean.cer30","mean.cer31","mean.cer32","mean.cer34","mean.cer35","mean.cer36","mean.cer38","mean.cer39","mean.cer4","mean.cer40","mean.cer41","mean.cer42","mean.cer45","mean.cer46","mean.cer47","mean.ino11","mean.ino7","mean.ino8","mean.rus1","mean.rus18","mean.rus2","mean.rus26","mean.rus6","mean.seb12","mean.seb32","mean.ser1","mean.the32","mean.the33","mean.the35","mean.the36","mean.the7","mean.tul18","mean.tul23","mean.tul24","mean.tul25","mean.tul27","mean.tul43","mean.tul5","support.cer1","support.cer10","support.cer18","support.cer2","support.cer20","support.cer21","support.cer22","support.cer23","support.cer25","support.cer27","support.cer29","support.cer30","support.cer31","support.cer32","support.cer34","support.cer35","support.cer36","support.cer38","support.cer39","support.cer4","support.cer40","support.cer41","support.cer42","support.cer45","support.cer46","support.cer47","support.ino11","support.ino7","support.ino8","support.rus1","support.rus18","support.rus2","support.rus26","support.rus6","support.seb12","support.seb32","support.ser1","support.the32","support.the33","support.the35","support.the36","support.the7","support.tul18","support.tul23","support.tul24","support.tul25","support.tul27","support.tul43","support.tul5"
"cer29",0.372096686879051,0.60000830586421,0.383174172141072,0.951851315186758,0.96915351158911,0.861978749285009,0.808214856719044,0.856881384462935,0.955151451053303,0.742955911714168,1,0.873132976069405,0.965147197898306,0.614731540156606,0.951234791292689,0.94022743332254,0.889748297235778,0.842656094751021,0.968616818575164,0.965173582000587,0.963718675818145,0.957439990558631,0.902317964617765,0.818104917475189,0.965448082174673,0.77112413264457,0.789561942800517,0.911747069060568,0.475953035386473,-0.966735315680922,0.65938448208781,-0.95996435634516,0.583267333882276,-0.943273912802323,0.955205150916037,0.534801139645539,0.936027073254927,0.430291511570392,0.642468409741783,0.799675288895053,0.662905639395756,0.926754573156348,0.271158485040539,-0.569379599844117,-0.511572048806776,-0.632393074689104,-0.359463780664778,-0.454375422802221,-0.577561492073905,0.699,0.8235,0.7075,0.991,0.9945,0.9535,0.9255,0.9535,0.9935,0.8905,1,0.961,0.995,0.8285,0.989,0.9875,0.964,0.9435,0.9945,0.9945,0.994,0.9925,0.971,0.9335,0.994,0.907,0.918,0.978,0.7625,0.005,0.853,0.0065,0.814,0.012,0.9935,0.786,0.987,0.734,0.84,0.9225,0.8515,0.9815,0.646,0.1995,0.2265,0.1635,0.3075,0.2565,0.1955
"cer30",0.343841390722349,0.562535066803994,0.358072049745215,0.88151244457733,0.896458817434577,0.79629187870353,0.753203308041869,0.790867841008929,0.883547826393485,0.682902705114287,0.873132976069405,1,0.892441836931799,0.566217120793679,0.880183757245534,0.872704830414866,0.821193296962961,0.780671373484577,0.895507070979983,0.894258566060917,0.892672675262174,0.887326999024629,0.832595283497097,0.752323483338534,0.89369910098395,0.711196964603134,0.729352286549397,0.844549721349768,0.440064233639162,-0.894935206107326,0.603851860797812,-0.887341772255601,0.534249424886652,-0.869323727737965,0.883059291742457,0.483823541277891,0.869145522796566,0.398707120978756,0.605719397508434,0.736291711019794,0.617519750845321,0.857618144685821,0.262504878113255,-0.537704636267733,-0.483939177550128,-0.569301933701576,-0.329935727186707,-0.416221437955152,-0.537394140448874,0.6855,0.809,0.6965,0.961,0.965,0.923,0.902,0.9245,0.9625,0.8615,0.961,1,0.964,0.807,0.962,0.959,0.9395,0.9135,0.964,0.9655,0.9645,0.9635,0.9415,0.905,0.964,0.8775,0.889,0.947,0.7405,0.0345,0.8275,0.038,0.7915,0.0435,0.962,0.767,0.9575,0.714,0.8305,0.8945,0.8375,0.953,0.644,0.2075,0.238,0.19,0.319,0.2745,0.218
"cer31",0.377788949958807,0.614166066156649,0.390280407092697,0.974433675249237,0.991144608285163,0.878908365708731,0.830194119407369,0.876229272324685,0.976704381821249,0.757144145389106,0.965147197898306,0.892441836931799,1,0.630519336156641,0.972438317364359,0.962022857135678,0.909960759962888,0.861895082520878,0.990633855964475,0.987897292342384,0.985337562525005,0.979804355917322,0.921664696984982,0.834424119998025,0.987974283098398,0.787934679127046,0.810267729010902,0.932922938032037,0.479368470076586,-0.988681558574281,0.675395413543836,-0.981349816640211,0.593212051418286,-0.963852139212489,0.977178638549754,0.54163743700888,0.956862632178437,0.442420888858658,0.657423937807736,0.816778809726157,0.679628306515752,0.947600834038064,0.280848170491238,-0.585743960785791,-0.52754145010436,-0.640340796136599,-0.365351833400383,-0.46018588319901,-0.596939474734448,0.699,0.8285,0.7115,0.997,1,0.958,0.9335,0.956,0.9985,0.8935,0.995,0.964,1,0.8325,0.9965,0.994,0.971,0.9475,1,1,0.9995,0.9985,0.977,0.942,0.9995,0.9105,0.9255,0.9805,0.7585,0,0.8555,0.0015,0.8165,0.008,0.9985,0.7855,0.9915,0.733,0.8515,0.9275,0.8585,0.9865,0.6505,0.1955,0.2235,0.1625,0.306,0.256,0.191
"cer32",0.258058112346425,0.393244215898704,0.225606408415814,0.623111255248972,0.633333359669903,0.565702509685047,0.539442776710607,0.552451708044134,0.622947660348509,0.466106152984567,0.614731540156606,0.566217120793679,0.630519336156641,1,0.618801202132921,0.610839022190546,0.574497613000904,0.564888669523245,0.633221962615423,0.628516079369888,0.627372283211128,0.622967333765652,0.585571724041789,0.54302729261794,0.627566210808746,0.51324271634892,0.516533858061146,0.598575337901658,0.299414282688902,-0.630831331672512,0.439967530769315,-0.627260928611461,0.381187461141508,-0.618766889754543,0.621012174401374,0.36956917075336,0.614011914552435,0.283742283877903,0.43355205095807,0.51400772760182,0.446505553787006,0.603195844102468,0.168041344192088,-0.37644342571065,-0.309672211703233,-0.405220039997931,-0.217183158892308,-0.286400197906886,-0.380480979024556,0.638,0.7115,0.6245,0.833,0.832,0.804,0.7925,0.8045,0.83,0.742,0.8285,0.807,0.8325,1,0.826,0.827,0.808,0.8025,0.832,0.832,0.831,0.826,0.814,0.794,0.831,0.783,0.7785,0.821,0.666,0.169,0.738,0.171,0.709,0.173,0.8305,0.703,0.827,0.6545,0.738,0.776,0.7425,0.825,0.5945,0.2955,0.3325,0.278,0.379,0.338,0.2955
"cer34",0.373048340216486,0.606527340864697,0.388136897339074,0.9607172375,0.976458545077951,0.867149319679029,0.816303824482957,0.864944688102269,0.963132347519716,0.743672895870677,0.951234791292689,0.880183757245534,0.972438317364359,0.618801202132921,1,0.947987515604222,0.89660657064862,0.848481859817894,0.97641295862458,0.973415660299559,0.971570438170925,0.966380941425867,0.906426311730903,0.823347437824265,0.972970308551836,0.774013689257525,0.800294083930301,0.917883038767858,0.473580580084824,-0.974349579512549,0.662916441127009,-0.968444102529526,0.58313662303823,-0.95006928282937,0.962314818626256,0.538460148679621,0.943984218869333,0.441034825819765,0.649109283698354,0.804648520453916,0.674795289265177,0.930920990543216,0.27515664202697,-0.578230424566451,-0.5177453349512,-0.631143364967324,-0.354730925079734,-0.45432195685669,-0.5905300509358,0.7,0.8215,0.7115,0.994,0.9955,0.952,0.93,0.952,0.9945,0.8895,0.989,0.962,0.9965,0.826,1,0.99,0.967,0.9435,0.996,0.996,0.9955,0.9945,0.97,0.935,0.9955,0.9085,0.9215,0.976,0.755,0.0045,0.8515,0.006,0.812,0.0135,0.9945,0.788,0.988,0.7315,0.845,0.9235,0.856,0.9825,0.648,0.198,0.2255,0.167,0.3115,0.257,0.193
"cer35",0.365944528788823,0.594374326113293,0.376915590833219,0.949867390325499,0.966205697370881,0.856347822559026,0.809399667970678,0.852359482758467,0.951033057403331,0.736407045982831,0.94022743332254,0.872704830414866,0.962022857135678,0.610839022190546,0.947987515604222,1,0.887689178079793,0.840811228350792,0.965584432320213,0.962538046964757,0.96065486483069,0.954186997852164,0.894894947571481,0.812003871290216,0.962743692892896,0.764869596256946,0.790637212214559,0.908902521854199,0.470770216684222,-0.963257921349152,0.656367259588996,-0.957110071124652,0.581114113777299,-0.939165510630988,0.950875417185758,0.535018195708712,0.93195094261279,0.427536156879421,0.637514495555965,0.793861469123534,0.663643484791694,0.920775603098243,0.274473617030303,-0.572163909477119,-0.51704399152363,-0.624556491827351,-0.354275961633628,-0.452369649554954,-0.586441267441876,0.6955,0.821,0.7035,0.9905,0.993,0.95,0.9265,0.9495,0.991,0.888,0.9875,0.959,0.994,0.827,0.99,1,0.9635,0.9415,0.9935,0.9925,0.992,0.991,0.9675,0.9305,0.993,0.9075,0.9185,0.975,0.753,0.0085,0.8495,0.0085,0.812,0.0145,0.991,0.7865,0.984,0.7295,0.843,0.921,0.8525,0.9785,0.6475,0.202,0.223,0.17,0.315,0.2575,0.194
"cer36",0.361979157905293,0.559184219316288,0.374165518253951,0.900283305849905,0.915430345341442,0.811951897998203,0.762922868521588,0.806146147039997,0.901701534900612,0.700421275507436,0.889748297235778,0.821193296962961,0.909960759962888,0.574497613000904,0.89660657064862,0.887689178079793,1,0.796909791592651,0.914432090334236,0.91107864075882,0.909050245548076,0.905043455524268,0.852155194510559,0.76971278260112,0.910883314321571,0.724535398619886,0.749999568879182,0.863117059934796,0.450084849147641,-0.912830817476847,0.624533788341304,-0.905820259251787,0.541465018425083,-0.889160960938079,0.900335176757558,0.496197283593535,0.882671553884925,0.408792807424464,0.605631360538716,0.755120355110191,0.631769574933485,0.872804150808571,0.260769743782402,-0.542424727920262,-0.480163405457996,-0.592907526882645,-0.329759453744983,-0.429168735523801,-0.551039188471278,0.6965,0.8025,0.706,0.9685,0.9715,0.933,0.9065,0.928,0.968,0.8735,0.964,0.9395,0.971,0.808,0.967,0.9635,1,0.9215,0.9715,0.9715,0.971,0.97,0.949,0.9125,0.971,0.887,0.902,0.9565,0.742,0.029,0.836,0.03,0.793,0.037,0.968,0.763,0.9625,0.7225,0.8285,0.902,0.8345,0.959,0.6445,0.2135,0.241,0.1815,0.318,0.2725,0.203
"cer38",0.342250831805869,0.535284371064589,0.334724272638569,0.851429075034482,0.866454719672403,0.766415250409578,0.724286572847058,0.772564201580535,0.852588803915959,0.671387383771949,0.842656094751021,0.780671373484577,0.861895082520878,0.564888669523245,0.848481859817894,0.840811228350792,0.796909791592651,1,0.866441180351189,0.862799817908551,0.860169666866944,0.857669836995245,0.803188503081368,0.733619407516385,0.86262754320001,0.69188066458177,0.710044092142409,0.813405304036748,0.416360540518532,-0.864200359017039,0.579050625963655,-0.858116850083278,0.515397606830543,-0.842874758535816,0.854602179062708,0.476511344388314,0.838726904128786,0.395086267161954,0.580339330594885,0.713433991248622,0.597547795188338,0.824705745805352,0.254955623215203,-0.514919126074408,-0.458970114787769,-0.572400358278164,-0.312592077651926,-0.399111570711807,-0.525224810887648,0.6825,0.7865,0.6835,0.946,0.95,0.9055,0.882,0.9075,0.9465,0.855,0.9435,0.9135,0.9475,0.8025,0.9435,0.9415,0.9215,1,0.9485,0.9485,0.9485,0.9485,0.9255,0.8965,0.9475,0.869,0.8805,0.931,0.727,0.052,0.813,0.0525,0.777,0.0595,0.9485,0.7605,0.9415,0.7135,0.815,0.88,0.819,0.9345,0.6375,0.2235,0.255,0.191,0.333,0.2835,0.221
"cer39",0.380754169766596,0.614529459176361,0.39272768537093,0.978256636372922,0.995560723439784,0.882821857279333,0.83195735467623,0.879446365774314,0.980843321652667,0.759079169398975,0.968616818575164,0.895507070979983,0.990633855964475,0.633221962615423,0.97641295862458,0.965584432320213,0.914432090334236,0.866441180351189,1,0.991640167593047,0.989933086632464,0.983596308069263,0.925313993546769,0.836884233687366,0.991977674109119,0.790655760076408,0.814116781879375,0.936739748892706,0.483828137515505,-0.992839110690755,0.676789415164267,-0.986335289734663,0.595756980515236,-0.967881066273783,0.9809971626823,0.547510492189194,0.961470016153788,0.445262450221868,0.661285276107162,0.820026523237886,0.682744248726523,0.951025613345498,0.281978247491642,-0.587381254599422,-0.527806553129016,-0.643832631508813,-0.364326308315471,-0.461328592546981,-0.59956236286541,0.6995,0.827,0.711,0.997,1,0.9595,0.9315,0.9575,0.9985,0.894,0.9945,0.964,1,0.832,0.996,0.9935,0.9715,0.9485,1,1,0.9995,0.9985,0.9765,0.94,0.9995,0.9115,0.927,0.982,0.7595,0,0.8545,0.0015,0.8145,0.008,0.9985,0.7875,0.9915,0.737,0.8505,0.9285,0.858,0.9865,0.651,0.196,0.2245,0.163,0.3085,0.257,0.191
"cer4",0.378986372659344,0.612438898374151,0.39180802649659,0.975169197273942,0.991998159740894,0.879444251811247,0.830074544482195,0.87705623757917,0.976819567545461,0.756539025822469,0.965173582000587,0.894258566060917,0.987897292342384,0.628516079369888,0.973415660299559,0.962538046964757,0.91107864075882,0.862799817908551,0.991640167593047,1,0.986463843490247,0.980446950653534,0.922972007328569,0.834450480986676,0.988912529644479,0.788030366129137,0.812383656934198,0.933049631336858,0.481150267033554,-0.989698698538433,0.675039713428341,-0.982652938616858,0.594123862742166,-0.964436646050375,0.977454230303585,0.545066665679071,0.958053960957715,0.441147939672882,0.659950219315832,0.817822932159729,0.680928915047044,0.947244662705116,0.28187304856227,-0.585261302985248,-0.52775078741912,-0.641098754045741,-0.365597931231784,-0.460775316007845,-0.596025138232481,0.6965,0.8275,0.7115,0.997,1,0.958,0.932,0.9555,0.9985,0.893,0.9945,0.9655,1,0.832,0.996,0.9925,0.9715,0.9485,1,1,0.9995,0.9985,0.977,0.939,0.9995,0.912,0.9255,0.9815,0.7605,0,0.856,0.0015,0.817,0.0085,0.9985,0.7865,0.992,0.7345,0.8505,0.9275,0.858,0.986,0.6525,0.1965,0.222,0.162,0.3075,0.2565,0.194
