"","mean.ser1","mean.ser2","support.ser1","support.ser2","mean.ser1.1","mean.ser2.1","support.ser1.1","support.ser2.1"
"ser1",1,0.0281741199591983,1,0.516666666666667,1,-0.019591134540507,1,0.488666666666667
"ser2",0.0281741199591983,1,0.516666666666667,1,-0.019591134540507,1,0.488666666666667,1
