Orc_genre	Orc_species	Fun_order	Fun_family	Fun_genus	Fun_species	GBAN	lat	lon	geneRegion	DOI	Title	Author	Origin	pubmed	number	Notes
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae 			EU583699	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900303	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		Could automate a BLAST search to zoom in the genus and species
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae 			EU583700	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900304	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae			EU583703	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900305	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae			EU583697	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900306	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae			EU583702	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900307	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae			EU583705	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900308	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae			EU583701	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900309	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae			EU583706	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900310	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae			EU909163	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900311	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae			EU583708	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900312	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis anthropophora	Cantharellales	Tulasnellaceae			EU583707	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900313	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583698	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900314	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583698	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900315	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583709	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900316	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583710	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900317	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583711	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900318	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583713	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900319	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583712	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900320	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583718	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900321	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583719	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900322	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583717	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900323	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583714	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900324	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583716	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900325	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583720	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900326	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis simia	Cantharellales	Tulasnellaceae			EU583715	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900327	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis xbergonii	Cantharellales	Tulasnellaceae			EU583692	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900328	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
Orchis	Orchis xbergonii	Cantharellales	Tulasnellaceae			EU583693	43.91277778	3.51361111	ITS1F,ITS4	doi:10.3732/ajb.0900329	A case study of modified interactions with symbionts in a hybrid mediterranean orchid	Schatz B Geoffroy A Dainat B Bessière JM Buatois B Hossaert-McKey M Selosse MA 	environmentalSample	21616880		
