"N","P","K","pH","MaxPrec","MinTemp","family"
1.81256413459778,46.6320838928223,360.54345703125,7.41684341430664,168,0.5,"seb"
1.81256413459778,46.6320838928223,360.54345703125,7.41684341430664,168,0.5,"the"
1.81256413459778,46.6320838928223,360.54345703125,7.41684341430664,168,0.5,"cer"
1.9908139705658,18.6624031066895,288.942962646484,6.35366487503052,282,1.5,"seb"
2.06238698959351,15.2473573684692,225.275375366211,7.41839790344238,305,3.40000009536743,"the"
1.84616839885712,28.548978805542,161.493408203125,6.01593780517578,236,-10.6000003814697,"cer"
2.30819773674011,14.0161809921265,184.646591186523,6.32806253433228,333,-0.800000011920929,"cer"
2.08330035209656,24.2406101226807,116.643310546875,5.83072662353516,210,-5.80000019073486,"tul"
6.88750743865967,46.0686187744141,263.996704101562,6.41903448104858,233,0.200000002980232,"tul"
5.04756355285645,39.704761505127,161.654602050781,6.49727201461792,310,1.10000002384186,"tul"
1.55320978164673,21.5637741088867,596.656188964844,7.44431400299072,153,5.69999980926514,"rus"
1.59317767620087,22.0370502471924,340.362823486328,7.34374618530273,394,5.90000009536743,"rus"
1.77924430370331,16.7492504119873,416.258850097656,7.25642204284668,423,4.80000019073486,"rus"
1.6785204410553,24.9685955047607,436.388610839844,7.36672592163086,395,4.80000019073486,"rus"
2.34487080574036,43.1993179321289,589.814819335938,7.37211608886719,356,3.29999995231628,"rus"
1.50221884250641,18.6661510467529,674.593322753906,7.83446264266968,163,3.70000004768372,"rus"
2.34916663169861,31.3502960205078,169.908462524414,6.35786962509155,353,-0.100000001490116,"rus"
1.76372313499451,24.007495880127,848.543151855469,7.64688539505005,250,3.09999990463257,"rus"
2.27689146995544,10.9444227218628,396.697875976562,7.27230215072632,272,2.70000004768372,"rus"
2.5601634979248,4.19304037094116,125.433464050293,6.70677995681763,311,3,"rus"
2.49944949150085,24.0087909698486,650.446044921875,7.42286443710327,296,3.5,"rus"
1.65792524814606,26.886251449585,302.190277099609,7.95224571228027,220,3.20000004768372,"rus"
1.77267396450043,8.43735408782959,252.119873046875,7.27506732940674,236,1.10000002384186,"rus"
0.996380269527435,17.2202529907227,275.620941162109,6.31275701522827,274,1.20000004768372,"rus"
2.14145731925964,11.0885324478149,211.550415039062,6.75398635864258,321,-0.200000002980232,"rus"
2.2861864566803,26.2331924438477,155.476974487305,6.74937772750854,326,-0.699999988079071,"rus"
1.41861617565155,39.7453269958496,152.440505981445,6.70961713790894,201,1.89999997615814,"rus"
1.61874842643738,49.3495330810547,252.167343139648,7.43557405471802,167,0.699999988079071,"rus"
1.67780363559723,51.9751243591309,217.28044128418,6.80349731445312,177,0.300000011920929,"rus"
4.25178337097168,17.6325912475586,108.671875,6.09946060180664,440,-5.40000009536743,"rus"
4.25178337097168,17.6325912475586,108.671875,6.09946060180664,440,-5.40000009536743,"tul"
2.75191020965576,17.9160690307617,134.229263305664,5.75323867797852,405,-6.5,"tul"
2.15506362915039,15.7781190872192,145.036499023438,5.37199068069458,396,-6.59999990463257,"tul"
NA,NA,NA,NA,371,-7.30000019073486,"cer"
1.93882882595062,24.5135402679443,329.496429443359,7.36386585235596,285,2.5,"tul"
2.8566255569458,2.99504065513611,108.426940917969,5.12359857559204,277,-5.5,"tul"
2.80908942222595,18.6065483093262,186.055892944336,5.54621410369873,268,-5.19999980926514,"tul"
2.80908942222595,18.6065483093262,186.055892944336,5.54621410369873,268,-5.19999980926514,"cer"
